Dataset,Frequency,Model,MAPE,sMAPE
m3,yearly,AutoARIMA,19.814839364135782,17.903468868689078
m3,yearly,AutoETS,18.737160208748936,16.47019961755248
m3,yearly,AutoTheta,18.77166163326673,16.70296123562654
m3,yearly,SeasonalNaive,18.778794296859633,17.538653816674593
m3,yearly,Naive,18.778794296859633,17.538653816674593
m3,yearly,RWD,19.868542423250457,16.765876753953464
m3,quarterly,AutoARIMA,18.676563011838816,10.178216793724847
m3,quarterly,AutoETS,14.778091795473117,8.994494757491802
m3,quarterly,AutoTheta,14.887312403871345,9.188441594058464
m3,quarterly,SeasonalNaive,17.401415087909715,11.021736959745988
m3,quarterly,Naive,17.468901354113115,11.444507039332406
m3,quarterly,RWD,18.079525726352994,11.716186992347755
m3,monthly,AutoARIMA,19.235248536199123,15.948778707358796
m3,monthly,AutoETS,19.114737113776822,14.411065753137686
m3,monthly,AutoTheta,19.391282137014603,14.957637370520347
m3,monthly,SeasonalNaive,22.28114521635037,17.742544687648607
m3,monthly,Naive,27.18750089520789,18.53288814224691
m3,monthly,RWD,28.264188009586128,19.19240152521198
m3,other,AutoARIMA,6.530005985596484,5.607039860271411
m3,other,AutoETS,6.579291519271051,5.666658015003714
m3,other,AutoTheta,7.0397442190758985,6.109613093603998
m3,other,SeasonalNaive,8.990273142007768,7.54429434193696
m3,other,Naive,8.990273142007768,7.54429434193696
m3,other,RWD,7.473232503005434,6.2892644428484745
m4,yearly,AutoARIMA,17.482730414639693,16.193860063987515
m4,yearly,AutoETS,16.58054278912078,14.058148867954099
m4,yearly,AutoTheta,16.507511090688702,14.039434576035555
m4,yearly,SeasonalNaive,17.512643291524093,16.327419139757332
m4,yearly,Naive,17.512643291524093,16.327419139757332
m4,yearly,RWD,16.3178705846699,14.222218687949963
m4,quarterly,AutoARIMA,12.206550209619573,10.856000945824015
m4,quarterly,AutoETS,12.300482862901285,10.239092749828737
m4,quarterly,AutoTheta,11.933131977361391,10.212061230152049
m4,quarterly,SeasonalNaive,14.324516409269672,12.553490057687346
m4,quarterly,Naive,13.268064523421048,11.648927093258923
m4,quarterly,RWD,13.32794279625611,11.457505661596798
m4,monthly,AutoARIMA,16.034220021979014,13.683078180267177
m4,monthly,AutoETS,16.934733812535825,13.583116383192792
m4,monthly,AutoTheta,15.591895998979538,13.190302972676735
m4,monthly,SeasonalNaive,19.341866149038577,15.998599776894542
m4,monthly,Naive,18.9988030350354,15.241724613102953
m4,monthly,RWD,18.613463054701555,15.475134567028501
m4,weekly,AutoARIMA,8.649021389800984,9.376795013346337
m4,weekly,AutoETS,8.24216077427375,8.50935168509658
m4,weekly,AutoTheta,8.699241170555519,9.160511144327351
m4,weekly,SeasonalNaive,9.073428597422145,9.102464216876973
m4,weekly,Naive,9.073428597422145,9.102464216876973
m4,weekly,RWD,9.303532611120527,9.49257584033974
m4,daily,AutoARIMA,4.121706574515737,3.1876342542157423
m4,daily,AutoETS,4.0146994893421954,3.024821966553979
m4,daily,AutoTheta,4.623993633807856,3.11715618778313
m4,daily,SeasonalNaive,4.5423915642394075,3.115572244405097
m4,daily,Naive,4.5423915642394075,3.115572244405097
m4,daily,RWD,4.8025233298656715,3.2594073946860576
m4,hourly,AutoARIMA,15.244567946738908,12.95703261115998
m4,hourly,AutoETS,24.17686250526519,15.997463373332197
m4,hourly,AutoTheta,16.0721871730879,17.192914153179515
m4,hourly,SeasonalNaive,14.3037335948774,13.926079229391508
m4,hourly,Naive,35.17964906813928,44.68628307543489
m4,hourly,RWD,35.484850641890574,45.44463457785752
